,trial_id,activation,dropout_rate,learning_rate,optimizer,accuracy,loss,val_accuracy,val_loss
0,00,sigmoid,0.0,0.09999999999999999,adam,0.5887500047683716,0.6565947532653809,0.574999988079071,0.6864781975746155
1,01,relu,0.2,0.01,RMSprop,0.8887500166893005,0.27414563298225403,0.9049999713897705,0.2429257333278656
2,02,elu,0.2,9.999999999999999e-05,nadam,0.8587499856948853,0.30376946926116943,0.9574999809265137,0.17453567683696747
3,03,tanh,0.0,9.999999999999999e-05,RMSprop,0.971875011920929,0.08546113222837448,0.9200000166893005,0.18141618371009827
4,04,relu,0.0,1e-06,adam,0.9943749904632568,0.03923700004816055,0.9100000262260437,0.2301405668258667
5,05,elu,0.1,9.999999999999999e-06,nadam,0.8918750286102295,0.2323281615972519,0.9649999737739563,0.1530262976884842
6,06,sigmoid,0.2,0.001,RMSprop,0.6924999952316284,0.5515381693840027,0.7599999904632568,0.48090168833732605
7,07,sigmoid,0.0,1e-06,adam,0.940625011920929,0.15381968021392822,0.925000011920929,0.18643203377723694
8,08,sigmoid,0.0,9.999999999999999e-06,nadam,0.9474999904632568,0.12055934965610504,0.9375,0.13968895375728607
9,09,relu,0.0,0.09999999999999999,nadam,1.0,0.001939711393788457,0.9275000095367432,0.4288405478000641
